SCRAM,WEEK,EST_ST,EST_MSA,PWEIGHT,TBIRTH_YEAR,ABIRTH_YEAR,EGENDER,AGENDER,RHISPANIC,AHISPANIC,RRACE,ARACE,EEDUC,AEDUC,MS,THHLD_NUMPER,AHHLD_NUMPER,THHLD_NUMKID,AHHLD_NUMKID,THHLD_NUMADLT,WRKLOSS,EXPCTLOSS,ANYWORK,KINDWORK,RSNNOWRK,UNEMPPAY,PRIFOODSUF,CURFOODSUF,FOODSUFRSN1,FOODSUFRSN2,FOODSUFRSN3,FOODSUFRSN4,FOODSUFRSN5,FREEFOOD,WHEREFREE1,WHEREFREE2,WHEREFREE3,WHEREFREE4,WHEREFREE5,WHEREFREE6,WHEREFREE7,TSPNDFOOD,TSPNDPRPD,FOODCONF,HLTHSTATUS,ANXIOUS,WORRY,INTEREST,DOWN,HLTHINS1,HLTHINS2,HLTHINS3,HLTHINS4,HLTHINS5,HLTHINS6,HLTHINS7,HLTHINS8,DELAY,NOTGET,TENURE,MORTLMTH,MORTCONF,ENROLL1,ENROLL2,ENROLL3,TEACH1,TEACH2,TEACH3,TEACH4,TEACH5,COMPAVAIL,COMP1,COMP2,COMP3,INTRNTAVAIL,INTRNT1,INTRNT2,INTRNT3,TSCHLHRS,TTCH_HRS,INCOME,female,internet_access
V010000001S79010911370113,1,01,NA,62609.377643,1947,2,2,2,1,2,1,2,3,2,1,10,2,0,2,10,2,2,2,NA,7,4,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,80,0,4,3,1,1,1,1,2,2,1,2,NA,1,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,0
V010000002S01021474150113,1,02,NA,243.08700645,1954,2,1,2,1,2,1,2,4,2,1,2,2,0,2,2,2,2,2,NA,7,4,1,2,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,250,150,4,2,2,2,2,2,1,NA,1,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0
V010000002S02020066900113,1,25,14460,96.02052302,1943,2,1,2,1,2,1,2,7,2,1,2,2,0,2,2,1,1,2,NA,7,2,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,100,0,4,3,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0
V010000002S02020239610113,1,12,NA,238.26203999,1985,2,1,2,1,2,4,2,4,2,3,2,2,0,2,2,1,1,1,2,NA,NA,2,2,NA,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,250,100,2,3,2,2,2,2,1,NA,NA,NA,NA,1,NA,NA,1,2,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0
V010000002S02020311520113,1,02,NA,110.4603855,1970,2,2,2,1,2,1,2,7,2,3,3,2,0,2,3,1,1,1,2,NA,NA,2,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,25,0,3,1,4,3,3,4,1,2,2,2,2,2,2,2,2,2,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,0
V010000002S02020400600111,1,02,NA,118.49068564,1998,2,2,2,1,2,1,2,4,2,5,1,2,0,2,1,2,2,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
V010000002S02020572320111,1,02,NA,180.05425808,1951,2,2,2,1,2,4,2,6,2,2,1,2,0,2,1,2,2,2,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
V010000002S02020573230112,1,02,NA,81.983870886,1983,2,2,2,1,2,1,2,7,2,1,4,2,2,2,2,2,2,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,450,NA,4,5,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,4,1,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,1,NA,1,NA,1,12,6,1,1
V010000002S02020674130113,1,02,NA,60.751328527,1995,2,2,2,1,2,1,2,6,2,5,1,2,0,2,1,1,2,2,NA,10,4,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,200,50,4,1,4,4,2,4,2,2,2,2,1,2,2,2,2,2,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0
V010000002S02020755030112,1,33,NA,93.638192584,1990,2,2,2,1,2,1,2,6,2,1,2,2,0,2,2,2,2,1,3,NA,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,125,25,4,4,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,0
